,mover-en,mover-ch
0,Dr Kenneth CHAN,陳家洛
70,Frederick FUNG,馮檢基
140,IP Kin-yuen,葉建源
280,KWOK Wai-keung,郭偉强
350,SIN Chung-kai,單仲偕
420,Dr CHIANG Lai-wan,蔣麗芸
490,Michael TIEN,田北辰
560,Kenneth LEUNG,梁繼昌
630,CHEUNG Kwok-che,張國柱
770,CHAN Hak-kan,陳克勤
840,CHAN Yuen-han,陳婉嫻
910,James TIEN,田北俊
980,Abraham SHEK,石禮謙
1050,Gary FAN,范國威
1120,Emily LAU,劉慧卿
1190,TAM Yiu-chung,譚耀宗
1260,WONG Kwok-hing,王國興
1330,CHAN Kin-por,陳健波
1470,Albert HO,何俊仁
1610,Dr Fernando CHEUNG,張超雄
1680,Cyd HO,何秀蘭
1960,Prof Joseph LEE,李國麟
2030,Alice MAK,麥美娟
2100,Dr KWOK Ka-ki,郭家麒
2170,CHAN Han-pan,陳恒鑌
2240,Vincent FANG,方剛
2310,CHAN Chi-chuen,陳志全
2380,Ronny TONG,湯家驊
2450,Dr LEUNG Ka-lau,梁家騮
2520,Dr Helena WONG,黃碧雲
2590,Mrs Regina IP,葉劉淑儀
2660,CHUNG Kwok-pan,鍾國斌
2940,LEE Cheuk-yan,李卓人
3010,LEUNG Che-cheung,梁志祥
3220,Ir Dr LO Wai-kwok,盧偉國
3360,WONG Yuk-man,黃毓民
3780,Alan LEONG,梁家傑
3850,Albert CHAN,陳偉業
4200,LEUNG Kwok-hung,梁國雄
5180,WU Chi-wai,胡志偉
5250,TANG Ka-piu,鄧家彪
5320,Frankie YICK,易志明
5390,CHAN Kam-lam,陳鑑林
5600,Martin LIAO,廖長江
5950,Claudia MO,毛孟靜
6020,Starry LEE,李慧琼
6300,Charles Peter MOK,莫乃光
6370,Paul TSE,謝偉俊
6580,POON Siu-ping,潘兆平
7000,IP Kwok-him,葉國謙
7140,Dennis KWOK,郭榮鏗
8260,Andrew LEUNG,梁君彥
9520,Secretary for Transport and Housing,運輸及房屋局局長
9800,WONG Kwok-kin,黃國健
10080,The Financial Secretary,財政司司長
58310,Secretary for Constitutional and Mainland Affairs,政制及內地事務局局長
59920,Christopher CHUNG,鍾樹根
60340,Dr Elizabeth QUAT,葛珮帆
60620,James TO,涂謹申
60760,Tony TSE,謝偉銓
61810,Christopher CHEUNG,張華峰
62650,Secretary for the Environment,環境局局長
63560,MA Fung-kwok,馬逢國
65170,Dr Priscilla LEUNG,梁美芬
66780,Jeffrey LAM,林健鋒
66920,WONG Ting-kwong,黃定光
67340,Dr LAU Wong-fat,劉皇發
67620,LEUNG Yiu-chung,梁耀忠
72800,Secretary for Home Affairs,民政事務局局長
148820,Secretary for Food and Health,食物及衞生局局長
149590,Secretary for Financial Services and the Treasury,財經事務及庫務局局長
153230,Tommy CHEUNG,張宇人
153720,Secretary for Security,保安局局長
156170,Secretary for Commerce and Economic Development,商務及經濟發展局局長
157080,Secretary for Labour and Welfare,勞工及福利局局長
157640,The Secretary for Justice,律政司司長
158690,The Chief Secretary for Administration,政務司司長
160300,NG Leung-sing,吳亮星
160650,Steven HO,何俊賢
162540,YIU Si-wing,姚思榮
206967,Dr LAM Tai-fai,林大輝
231302,Secretary for Education,教育局局長
