position,en,ch
1,LEUNG Kwok-hung,梁國雄
2,Albert CHAN,陳偉業
3,CHAN Chi-chuen,陳志全
4,Gary FAN,范國威
5,WONG Yuk-man,黃毓民
6,Claudia MO,毛孟靜
7,LEUNG Yiu-chung,梁耀忠
8,Cyd HO,何秀蘭
9,Dr KWOK Ka-ki,郭家麒
10,Dr Fernando CHEUNG,張超雄
11,LEE Cheuk-yan,李卓人
12,Emily LAU,劉慧卿
13,Alan LEONG,梁家傑
14,Dr Kenneth CHAN,陳家洛
15,CHEUNG Kwok-che,張國柱
16,SIN Chung-kai,單仲偕
17,Dr Helena WONG,黃碧雲
18,WU Chi-wai,胡志偉
19,Frederick FUNG,馮檢基
20,IP Kin-yuen,葉建源
21,James TO,涂謹申
22,Dennis KWOK,郭榮鏗
23,Albert HO,何俊仁
24,Ronny TONG,湯家驊
25,Prof Joseph LEE,李國麟
26,Charles Peter MOK,莫乃光
27,Kenneth LEUNG,梁繼昌
28,Alvin YEUNG,楊岳橋
29,TSANG Yok-sing,曾鈺成
30,Dr LEUNG Ka-lau,梁家騮
31,Dr LAM Tai-fai,林大輝
32,Vincent FANG,方剛
33,James TIEN,田北俊
34,Michael TIEN,田北辰
35,Dr LAU Wong-fat,劉皇發
36,Abraham SHEK,石禮謙
37,CHAN Yuen-han,陳婉嫻
38,Mrs Regina IP,葉劉淑儀
39,CHUNG Kwok-pan,鍾國斌
40,Tommy CHEUNG,張宇人
41,Dr Priscilla LEUNG,梁美芬
42,CHAN Hak-kan,陳克勤
43,Dr CHIANG Lai-wan,蔣麗芸
44,WONG Kwok-kin,黃國健
45,Starry LEE,李慧琼
46,Christopher CHUNG,鍾樹根
47,Frankie YICK,易志明
48,Jeffrey LAM,林健鋒
49,CHAN Han-pan,陳恒鑌
50,Martin LIAO,廖長江
51,CHAN Kin-por,陳健波
52,Paul TSE,謝偉俊
53,NG Leung-sing,吳亮星
54,Tony TSE,謝偉銓
55,MA Fung-kwok,馬逢國
56,TANG Ka-piu,鄧家彪
57,KWOK Wai-keung,郭偉强
58,Dr Elizabeth QUAT,葛珮帆
59,YIU Si-wing,姚思榮
60,WONG Kwok-hing,王國興
61,LEUNG Che-cheung,梁志祥
62,IP Kwok-him,葉國謙
63,Alice MAK,麥美娟
64,Andrew LEUNG,梁君彥
65,POON Siu-ping,潘兆平
66,CHAN Kam-lam,陳鑑林
67,Steven HO,何俊賢
68,Christopher CHEUNG,張華峰
69,WONG Ting-kwong,黃定光
70,Ir Dr LO Wai-kwok,盧偉國
71,TAM Yiu-chung,譚耀宗
